leader.1,controlfield.1,controlfield.2,controlfield.3,controlfield.4,datafield.1,datafield.2,datafield.3,datafield.4,datafield.5,datafield.6,datafield.7,datafield.8,datafield.9,datafield.10,datafield.11,datafield.12,datafield.13,datafield.14,datafield.15,datafield.16,datafield.17,datafield.18,datafield.19
00389nx  a22001211n 4500,22362517290001488,9992150599201488,1011252u    8   4001uueng0000000,20150805114536.0,"
      DIGI_0033_0702
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 augustus 05
    ","
      Archives de l'Université catholique de Louvain
      Ms. C202
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361523130001488,9992146194901488,1011252u    8   4001uueng0000000,20150619150018.0,"
      DIGI_0033_0606
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 19
    ","
      Archives de l'Université catholique de Louvain
      Ms. C106
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361797750001488,9992146857301488,1011252u    8   4001uueng0000000,20150702153822.0,"
      DIGI_0033_0658
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 02
    ","
      Archives de l'Université catholique de Louvain
      Ms. C158
    ",,,,,,,,,,,,,
00383nx  a22001211n 4500,22360458660001488,9992140603301488,1011252u    8   4001uueng0000000,20150522100658.0,"
      DIGI_0033_0573
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 22
    ","
      Archives de l'Université catholique de Louvain
      Ms. C73
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361468980001488,9992146295001488,1011252u    8   4001uueng0000000,20150622143152.0,"
      DIGI_0033_0608
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 22
    ","
      Archives de l'Université catholique de Louvain
      Ms. C108
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362243740001488,9992149184401488,1011252u    8   4001uueng0000000,20150728102659.0,"
      DIGI_0033_0687
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 28
    ","
      Archives de l'Université catholique de Louvain
      Ms. C187
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362239650001488,9992149178901488,1011252u    8   4001uueng0000000,20150729144715.0,"
      DIGI_0033_0989
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 29
    ","
      Archives de l'Université catholique de Louvain
      Ms. C189
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362245130001488,9992149186001488,1011252u    8   4001uueng0000000,20150727115447.0,"
      DIGI_0033_0681
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 27
    ","
      Archives de l'Université catholique de Louvain
      Ms. C181
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361719120001488,9992146988901488,1011252u    8   4001uueng0000000,20150701131833.0,"
      DIGI_0033_0650
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 01
    ","
      Archives de l'Université catholique de Louvain
      Ms. C150
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362161790001488,9992149102601488,1011252u    8   4001uueng0000000,20150717144913.0,"
      DIGI_0033_0678
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 17
    ","
      Archives de l'Université catholique de Louvain
      Ms. C178
    ",,,,,,,,,,,,,
00389nx  a22001211n 4500,22362652290001488,9992151606301488,1011252u    8   4001uueng0000000,20150812152445.0,"
      DIGI_0033_0710
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 augustus 12
    ","
      Archives de l'Université catholique de Louvain
      Ms. C710
    ",,,,,,,,,,,,,
00389nx  a22001211n 4500,22362582570001488,9992151397201488,1011252u    8   4001uueng0000000,20150811161906.0,"
      DIGI_0033_0709
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 augustus 11
    ","
      Archives de l'Université catholique de Louvain
      Ms. C209
    ",,,,,,,,,,,,,
00389nx  a22001211n 4500,22362568180001488,9992150970801488,20150807140549.0,1011252u    8   4001uueng0000000,"
      DIGI_0033_0704
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 augustus 07
    ","
      Archives de l'Université catholique de Louvain
      Ms. C204
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361609060001488,9992146344901488,1011252u    8   4001uueng0000000,20150624115013.0,"
      DIGI_0033_0638
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 24
    ","
      Archives de l'Université catholique de Louvain
      Ms. C138
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361646360001488,9992146339701488,1011252u    8   4001uueng0000000,20150624160822.0,"
      DIGI_0033_0640
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 24
    ","
      Archives de l'Université catholique de Louvain
      Ms. C140
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361627160001488,9992146148901488,1011252u    8   4001uueng0000000,20150623135232.0,"
      DIGI_0033_0614
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 23
    ","
      Archives de l'Université catholique de Louvain
      Ms. C114
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361648020001488,9992146342401488,1011252u    8   4001uueng0000000,20150624133821.0,"
      DIGI_0033_0639
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 24
    ","
      Archives de l'Université catholique de Louvain
      Ms. C139
    ",,,,,,,,,,,,,
00383nx  a22001211n 4500,22360453890001488,9992140593401488,1011252u    8   4001uueng0000000,20150522132957.0,"
      DIGI_0033_0574
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 22
    ","
      Archives de l'Université catholique de Louvain
      Ms. C74
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361756110001488,9992146318201488,1011252u    8   4001uueng0000000,20150630155513.0,"
      DIGI_0033_0649
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 30
    ","
      Archives de l'Université catholique de Louvain
      Ms. C149
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361930210001488,9992147782501488,1011252u    8   4001uueng0000000,20150709132632.0,"
      DIGI_0033_0665
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 09
    ","
      Archives de l'Université catholique de Louvain
      Ms. C165
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361597790001488,9992146292801488,1011252u    8   4001uueng0000000,20150622161240.0,"
      DIGI_0033_0609
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 22
    ","
      Archives de l'Université catholique de Louvain
      Ms. C109
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362161280001488,9992149101701488,1011252u    8   4001uueng0000000,20150717154933.0,"
      DIGI_0033_0680
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 17
    ","
      Archives de l'Université catholique de Louvain
      Ms. C180
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362091700001488,9992148600301488,1011252u    8   4001uueng0000000,20150715155953.0,"
      DIGI_0033_0676
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 15
    ","
      Archives de l'Université catholique de Louvain
      Ms. C176
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362095110001488,9992148605801488,1011252u    8   4001uueng0000000,20150715110316.0,"
      DIGI_0033_0672
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 15
    ","
      Archives de l'Université catholique de Louvain
      Ms. C172
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362163890001488,9992149105901488,1011252u    8   4001uueng0000000,20150717114504.0,"
      DIGI_0033_0677
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 17
    ","
      Archives de l'Université catholique de Louvain
      Ms. C177
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361469550001488,9992146296101488,1011252u    8   4001uueng0000000,20150622133634.0,"
      DIGI_0033_0107
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 22
    ","
      Archives de l'Université catholique de Louvain
      Ms. C107
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362311640001488,9992149485801488,1011252u    8   4001uueng0000000,20150731101848.0,"
      DIGI_0033_0693
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 31
    ","
      Archives de l'Université catholique de Louvain
      Ms. C193
    ",,,,,,,,,,,,,
00450nx  a22001331i 4500,22322224650001488,9985276830101488,1206072u    8   4001uulat0000000,20150114112120.0,"
      DIGI_0033_0152
    ","
      The Romantic Agony, 2011, cat. 46, nr. 995
      Monographacq
      201206
    ","
      Bragard, Philippe
      Supralibros
    ","
      BIBC
      BRES
      Ms. 352
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Bragard, Philippe
      Ex libris Philippe Bragard 1986
      Supralibros
    ","
      ?
    ",,,,,,,,,,,,
00383nx  a22001211n 4500,22360195160001488,9992139690401488,1011252u    8   4001uueng0000000,20150512110049.0,"
      DIGI_0033_0554
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 12
    ","
      Archives de l'Université catholique de Louvain
      Ms. C54
    ",,,,,,,,,,,,,
00514nx  a22001451i 4500,22338526150001488,9989636720101488,20150306105802.0,1308012u    8   4001uuita0000000,"
      DIGI_0033_0155
    ","
      Godts
      Monographacq
      201308
    ","
      Château de Vieusart, Corroy-le-Grand
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 355
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Château de Vieusart, Corroy-le-Grand
      Ownership stamp
    ","
      Cover in good condition ; blanco folia are torn out
    ","
      18.06.2013, nr. 279
    ",,,,,,,,,,,
00385nx  a22001211n 4500,22358577580001488,9992133547201488,20150319112240.0,1011252u    8   4001uueng0000000,"
      DIGI_0033_0548
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 maart 19
    ","
      Archives de l'Université catholique de Louvain
      Ms. C48
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22321490640001488,9985231470101488,1205252u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1911
    ","
      201205
    ","
      Titlepage only
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ",,,,,,,,,,,,,,,
00385nx  a22001211n 4500,22359591500001488,9992137297401488,1011252u    8   4001uueng0000000,20150423131357.0,"
      DIGI_0033_0511
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 23
    ","
      Archives de l'Université catholique de Louvain
      Ms. C11
    ",,,,,,,,,,,,,
00596nx  a22001571n 4500,22351575890001488,9992112188001488,20150428125710.0,1011252u    8   4001uueng0000000,"
      DIGI_0033_0162
    ","
      Manuscriptacq
    ","
      Bragard, Philippe
      Supralibros
    ","
      BIBC
      BRES
      Ms. 362
    ","
      UBKUL collegedictaten 2015 KULeuven
    ","
      UBD metadata collegedictaten 2015 april 28
    ","
      Fonds InBev Baillet Latour
    ","
      Rucquoy, Michael Josephus
      Sum Michaelis Josephi Rucquoy Paedagogii procensis alumni aô 1772
      Handwritten
    ","
      Bragard, Philippe
      ex libris philippe bragard
      Supralibros
    ",,,,,,,,,,
00387nx  a22001211n 4500,22358335590001488,9992133084901488,20150311140618.0,1011252u    8   4001uueng0000000,"
      DIGI_0033_0524
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictataten 2015 maart 11
    ","
      Archives de l'Université catholique de Louvain
      Ms. C24
    ",,,,,,,,,,,,,
00383nx  a22001211n 4500,22359910040001488,9992138497301488,1011252u    8   4001uueng0000000,20150505130506.0,"
      DIGI_0033_0538
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 05
    ","
      Archives de l'Université catholique de Louvain
      Ms. C38
    ",,,,,,,,,,,,,
00358nx  a22001211i 4500,22321358780001488,9985204270101488,1205162u    8   4001uulat0000000,20150216111043.0,"
      DIGI_0033_0149
    ","
      Antiquariat Peter Fritzen (Trier)
      Manuscriptacq
      201205
    ","
      BIBC
      BRES
      Ms. 349
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      In good condition
    ","
      2012.05.16
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22321494080001488,9985230850101488,1205252u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1910
    ","
      201205
    ","
      Titlepage only
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ",,,,,,,,,,,,,,,
00385nx  a22001211n 4500,22359679910001488,9992137275801488,1011252u    8   4001uueng0000000,20150427150204.0,"
      DIGI_0033_0530
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 27
    ","
      Archives de l'Université catholique de Louvain
      Ms. C30
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22358695800001488,9992134606101488,20150324131203.0,1011252u    8   4001uueng0000000,"
      DIGI_0033_0549
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 maart 24
    ","
      Archives de l'Université catholique de Louvain
      Ms. C49
    ",,,,,,,,,,,,,
00384nx  a22001211n 4500,22359620810001488,9992137304801488,1011252u    8   4001uueng0000000,20150422114355.0,"
      DIGI_0033_0508
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 22
    ","
      Archives de l'Université catholique de Louvain
      Ms. C8
    ",,,,,,,,,,,,,
00384nx  a22001211n 4500,22358543270001488,9992133560601488,20150318140658.0,1011252u    8   4001uueng0000000,"
      DIGI_0033_0503
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 maart 18
    ","
      Archives de l'Université catholique de Louvain
      Ms. C3
    ",,,,,,,,,,,,,
00383nx  a22001211n 4500,22360520740001488,9992140333701488,1011252u    8   4001uueng0000000,20150529153904.0,"
      DIGI_0033_0590
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 29
    ","
      Archives de l'Université catholique de Louvain
      Ms. C90
    ",,,,,,,,,,,,,
00386nx  a22001211n 4500,22359076770001488,9992136105801488,1011252u    8   4001uueng0000000,20150403162833.0,"
      DIGI_0033_0610
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 03
    ","
      Archives de l'Université catholique de Louvain
      Ms. C110
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22358741060001488,9992134685601488,1011252u    8   4001uueng0000000,20150325135116.0,"
      DIGI_0033_0566
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 maart 25
    ","
      Archives de l'Université catholique de Louvain
      Ms. C66
    ",,,,,,,,,,,,,
00386nx  a22001211n 4500,22359481850001488,9992136995601488,1011252u    8   4001uueng0000000,20150417092852.0,"
      DIGI_0033_0690
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 17
    ","
      Archives de l'Université catholique de Louvain
      Ms. C190
    ",,,,,,,,,,,,,
00383nx  a22001211n 4500,22360489690001488,9992140134901488,1011252u    8   4001uueng0000000,20150527150028.0,"
      DIGI_0033_0577
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 27
    ","
      Archives de l'Université catholique de Louvain
      Ms. C77
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22321427660001488,9985224840101488,1205232u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1647
    ","
      The Romantic Agony
      Manuscriptacq
      201205
    ","
      Manuscript is in very bad condition
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      2008.11.21-22
    ","
      Gelin, R.D.E.
      Ex libris R. D.-E. Gelin
      Ownership stamp
    ","
      Gelin, R.D.E.
      Ownership stamp
    ",,,,,,,,,,,,
00386nx  a22001211n 4500,22359508460001488,9992136989801488,1011252u    8   4001uueng0000000,20150417112851.0,"
      DIGI_0033_0698
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 17
    ","
      Archives de l'Université catholique de Louvain
      Ms. C198
    ",,,,,,,,,,,,,
00386nx  a22001211n 4500,22359072930001488,9992136098101488,20150407162140.0,1011252u    8   4001uueng0000000,"
      DIGI_0033_0615
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 07
    ","
      Archives de l'Université catholique de Louvain
      Ms. C115
    ",,,,,,,,,,,,,
00625nx  a22001691i 4500,22339688050001488,9990180740101488,1310222u    8   4001uulat0000000,20150217144109.0,"
      DIGI_0033_0156
    ","
      Godts
      Monographacq
      201310
    ","
      Peeters, Jules
      Supralibros
    ","
      Peeters, Jules
      Supralibros
    ","
      BIBC
      BRES
      Ms. 356
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Peeters, Jules
      Ex Libris Jvlii Peeters In libros natvramqve serenitas
      Supralibros
    ","
      Peeters, Jules
      Ex Libris Jvlii Peeters Bruxellensis Catal. XXIV 4425 20.III.1938
      Supralibros
    ","
      Cover in good condition
    ","
      ?
    ",,,,,,,,,
00417nx  a22001331n 4500,22358283860001488,9992133203501488,20150311105813.0,1011252u    8   4001uueng0000000,"
      DIGI_0033_0502
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 maart 10
    ","
      Archives de l'Université catholique de Louvain
      Ms. C2
    ","
      Spine is damaged
    ",,,,,,,,,,,,
00383nx  a22001211n 4500,22360165160001488,9992139603401488,1011252u    8   4001uueng0000000,20150511130505.0,"
      DIGI_0033_0546
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 11
    ","
      Archives de l'Université catholique de Louvain
      Ms. C46
    ",,,,,,,,,,,,,
00386nx  a22001211n 4500,22359296200001488,9992136082201488,1011252u    8   4001uueng0000000,20150410155906.0,"
      DIGI_0033_0661
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 10
    ","
      Archives de l'Université catholique de Louvain
      Ms. C161
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22321365580001488,9985187380101488,1205112u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1645
    ","
      The Romantic Agony
      Manuscriptacq
      201205
    ","
      Folia are missing at the beginning also at the end
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      2008.11.21-22
    ","
      Gelin, R.D.E.
      Ex libris R. D.-E. Gelin
      Ownership stamp
    ","
      Gelin, R.D.E.
      Ownership stamp
    ",,,,,,,,,,,,
00383nx  a22001211n 4500,22360368670001488,9992140195101488,1011252u    8   4001uueng0000000,20150518114854.0,"
      DIGI_0033_0560
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 18
    ","
      Archives de l'Université catholique de Louvain
      Ms. C60
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22323596150001488,9988018010101488,1209182u    8   4001uulat0000000,,"
      201209
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Courthouts, P. G.
      Ex libris P. G. Corthouts Hasseletensis Anno 1762
      Handwritten
    ","
      Brouwers, P. M.
      Nunc Ex libris P. M. Brouwers [...] 1822
      Handwritten
    ","
      Van Even, Eduard
      Ed. van Even, Lovaniensis, 1854
      Handwritten
    ","
      Demunter, Victor
      Ex libris V Demunter Lovaniensis 1911
      Supralibros
    ","
      Leuven, Museum M
      Stadsbestuur van Leuven Museum
      Ownership stamp
    ","
      BIBC
      BRES
    ","
      Courthouts, P. G.
      Handwritten
    ","
      Brouwers, P. M.
      Handwritten
    ","
      Van Even, Eduard
      Handwritten
    ","
      Demunter, Victor
      Supralibros
    ","
      Leuven, Museum M
      Ownership stamp
    ",,,,,
00383nx  a22001211n 4500,22360479130001488,9992140339801488,1011252u    8   4001uueng0000000,20150528105105.0,"
      DIGI_0033_0582
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 28
    ","
      Archives de l'Université catholique de Louvain
      Ms. C82
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22358777940001488,9992134681701488,1011252u    8   4001uueng0000000,20150325162417.0,"
      DIGI_0033_0578
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 maart 25
    ","
      Archives de l'Université catholique de Louvain
      Ms. C78
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22359590690001488,9992137296201488,1011252u    8   4001uueng0000000,20150423162624.0,"
      DIGI_0033_0512
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 23
    ","
      Archives de l'Université catholique de Louvain
      Ms. C12
    ",,,,,,,,,,,,,
00386nx  a22001211n 4500,22359292630001488,9992136072701488,1011252u    8   4001uueng0000000,20150413150100.0,"
      DIGI_0033_0671
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 13
    ","
      Archives de l'Université catholique de Louvain
      Ms. C171
    ",,,,,,,,,,,,,
00383nx  a22001211n 4500,22360086830001488,9992138587901488,1011252u    8   4001uueng0000000,20150508151425.0,"
      DIGI_0033_0543
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 08
    ","
      Archives de l'Université catholique de Louvain
      Ms. C43
    ",,,,,,,,,,,,,
00383nx  a22001211n 4500,22360086590001488,9992138587401488,1011252u    8   4001uueng0000000,20150508160353.0,"
      DIGI_0033_0544
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 mei 08
    ","
      Archives de l'Université catholique de Louvain
      Ms. C44
    ",,,,,,,,,,,,,
00386nx  a22001211n 4500,22359443920001488,9992136788601488,1011252u    8   4001uueng0000000,20150416092855.0,"
      DIGI_0033_0684
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 april 16
    ","
      Archives de l'Université catholique de Louvain
      Ms. C184
    ",,,,,,,,,,,,,
00368nx  a22001211i 4500,22267083960001488,9992075290101488,1406242u    8   4001uulat0000000,20150217155413.0,"
      DIGI_0033_0159
    ","
      Godts
      Monographacq
      201406
    ","
      BIBC
      BRES
      Ms. 359
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Cover in good condition with ""Falcon"" stamps on the back
    ","
      2014.03.18
    ",,,,,,,,,,,,,
